ICD10,ICD10 String,PheCode,Phenotype,Excl. Phecodes,Excl. Phenotypes,sex,pregnancy_related,category,category_string
S53.3,Traumatic rupture of ulnar collateral ligament,840.3,Joint/ligament sprain,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles,Both,0.0,18.0,injuries & poisonings
S54,Injury of nerves at forearm level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S54.0,Injury of ulnar nerve at forearm level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S54.1,Injury of median nerve at forearm level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S54.2,Injury of radial nerve at forearm level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S54.3,Injury of cutaneous sensory nerve at forearm level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S54.7,Injury of multiple nerves at forearm level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S54.8,Injury of other nerves at forearm level,351,Other peripheral nerve disorders,351-355.99,mononeuritis and nerve lesions,,0.0,6.0,neurological
S54.8,Injury of other nerves at forearm level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S54.9,Injury of unspecified nerve at forearm level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S55,Injury of blood vessels at forearm level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S55.0,Injury of ulnar artery at forearm level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S55.1,Injury of radial artery at forearm level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S55.2,Injury of vein at forearm level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S55.7,Injury of multiple blood vessels at forearm level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S55.8,Injury of other blood vessels at forearm level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S55.9,Injury of unspecified blood vessel at forearm level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S56,Injury of muscle and tendon at forearm level,1009,"Injury, NOS",,,,0.0,0.0,other
S56.0,Injury of flexor muscle and tendon of thumb at forearm level,728,"Disorders of muscle, ligament, and fascia",725-729.99,"Rheumatism, Excluding The Back",Both,0.0,14.0,musculoskeletal
S56.0,Injury of flexor muscle and tendon of thumb at forearm level,359.2,Myopathy,356-359.99,Disorders of the peripheral nervous system,Both,0.0,6.0,neurological
S56.0,Injury of flexor muscle and tendon of thumb at forearm level,1009,"Injury, NOS",,,,0.0,0.0,other
S56.2,Injury of other flexor muscle and tendon at forearm level,1009,"Injury, NOS",,,,0.0,0.0,other
S56.3,Injury of extensor or abductor muscles and tendons of thumb at forearm level,1009,"Injury, NOS",,,,0.0,0.0,other
S56.4,Injury of extensor muscle and tendon of other finger(s) at forearm level,1009,"Injury, NOS",,,,0.0,0.0,other
S56.5,Injury of other extensor muscle and tendon at forearm level,1009,"Injury, NOS",,,,0.0,0.0,other
S56.7,Injury of multiple muscles and tendons at forearm level,1009,"Injury, NOS",,,,0.0,0.0,other
S56.8,Injury of other and unspecified muscles and tendons at forearm level,1009,"Injury, NOS",,,,0.0,0.0,other
S57,Crushing injury of forearm,1006,Crushing injury,,,Both,0.0,0.0,other
S57.0,Crushing injury of elbow,1006,Crushing injury,,,Both,0.0,0.0,other
S57.8,Crushing injury of other parts of forearm,1006,Crushing injury,,,Both,0.0,0.0,other
S57.8,Crushing injury of other parts of forearm,1011,Complications of surgical and medical procedures,,,Both,0.0,0.0,other
S57.9,"Crushing injury of forearm, part unspecified",1006,Crushing injury,,,Both,0.0,0.0,other
S58,Traumatic amputation of forearm,872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S58.0,Traumatic amputation at elbow level,872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S58.1,Traumatic amputation at level between elbow and wrist,872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S58.9,"Traumatic amputation of forearm, level unspecified",872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S59.8,Other specified injuries of forearm,1009,"Injury, NOS",,,,0.0,0.0,other
S59.9,Unspecified injury of forearm,1009,"Injury, NOS",,,,0.0,0.0,other
S60.0,Contusion of finger(s) without damage to nail,916,Contusion,916-916.99,Contusion,Both,0.0,18.0,injuries & poisonings
S60.1,Contusion of finger(s) with damage to nail,916,Contusion,916-916.99,Contusion,Both,0.0,18.0,injuries & poisonings
S60.2,Contusion of other parts of wrist and hand,916,Contusion,916-916.99,Contusion,Both,0.0,18.0,injuries & poisonings
S60.7,Multiple superficial injuries of wrist and hand,915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S60.8,Other superficial injuries of wrist and hand,915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S60.9,"Superficial injury of wrist and hand, unspecified",915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S61.0,Open wound of finger(s) without damage to nail,871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S61.1,Open wound of finger(s) with damage to nail,871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S61.7,Multiple open wounds of wrist and hand,871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S61.8,Open wound of other parts of wrist and hand,871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S61.9,"Open wound of wrist and hand, part unspecified",871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S62.0,Fracture of navicular [scaphoid] bone of hand,804,Fracture of hand or wrist,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S62.1,Fracture of other carpal bone(s),804,Fracture of hand or wrist,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S62.2,Fracture of first metacarpal bone,804,Fracture of hand or wrist,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S62.3,Fracture of other metacarpal bone,804,Fracture of hand or wrist,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S62.4,Multiple fractures of metacarpal bones,804,Fracture of hand or wrist,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S62.5,Fracture of thumb,804,Fracture of hand or wrist,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S62.6,Fracture of other finger,804,Fracture of hand or wrist,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S62.7,Multiple fractures of fingers,804,Fracture of hand or wrist,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S62.8,Fracture of other and unspecified parts of wrist and hand,804,Fracture of hand or wrist,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S63.0,Dislocation of wrist,830,Dislocation,830-839.99,joint disorders and dislocations; trauma-related,,0.0,18.0,injuries & poisonings
S63.1,Dislocation of finger,830,Dislocation,830-839.99,joint disorders and dislocations; trauma-related,,0.0,18.0,injuries & poisonings
S63.2,Multiple dislocations of fingers,830,Dislocation,830-839.99,joint disorders and dislocations; trauma-related,,0.0,18.0,injuries & poisonings
S63.3,Traumatic rupture of ligament of wrist and carpus,840,Sprains and strains,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles,,0.0,18.0,injuries & poisonings
S63.4,Traumatic rupture of ligament of finger at metacarpophalangeal and interphalangeal joint(s),840.3,Joint/ligament sprain,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles,Both,0.0,18.0,injuries & poisonings
S63.4,Traumatic rupture of ligament of finger at metacarpophalangeal and interphalangeal joint(s),840,Sprains and strains,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles,,0.0,18.0,injuries & poisonings
S63.5,Sprain and strain of wrist,840,Sprains and strains,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles,,0.0,18.0,injuries & poisonings
S63.6,Sprain and strain of finger(s),840,Sprains and strains,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles,,0.0,18.0,injuries & poisonings
S63.7,Sprain and strain of other and unspecified parts of hand,840,Sprains and strains,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles,,0.0,18.0,injuries & poisonings
S64,Injury of nerves at wrist and hand level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S64.0,Injury of ulnar nerve at wrist and hand level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S64.1,Injury of median nerve at wrist and hand level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S64.2,Injury of radial nerve at wrist and hand level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S64.3,Injury of digital nerve of thumb,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S64.4,Injury of digital nerve of other finger,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S64.7,Injury of multiple nerves at wrist and hand level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S64.8,Injury of other nerves at wrist and hand level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S64.9,Injury of unspecified nerve at wrist and hand level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S65,Injury of blood vessels at wrist and hand level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S65.0,Injury of ulnar artery at wrist and hand level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S65.1,Injury of radial artery at wrist and hand level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S65.2,Injury of superficial palmar arch,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S65.3,Injury of deep palmar arch,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S65.4,Injury of blood vessel(s) of thumb,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S65.5,Injury of blood vessel(s) of other finger,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S65.7,Injury of multiple blood vessels at wrist and hand level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S65.8,Injury of other blood vessels at wrist and hand level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S65.9,Injury of unspecified blood vessel at wrist and hand level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S66.0,Injury of long flexor muscle and tendon of thumb at wrist and hand level,1009,"Injury, NOS",,,,0.0,0.0,other
S66.1,Injury of flexor muscle and tendon of other finger at wrist and hand level,1009,"Injury, NOS",,,,0.0,0.0,other
S66.2,Injury of extensor muscle and tendon of thumb at wrist and hand level,1009,"Injury, NOS",,,,0.0,0.0,other
S66.3,Injury of extensor muscle and tendon of other finger at wrist and hand level,1009,"Injury, NOS",,,,0.0,0.0,other
S66.4,Injury of intrinsic muscle and tendon of thumb at wrist and hand level,1009,"Injury, NOS",,,,0.0,0.0,other
S66.5,Injury of intrinsic muscle and tendon of other finger at wrist and hand level,1009,"Injury, NOS",,,,0.0,0.0,other
S66.6,Injury of multiple flexor muscles and tendons at wrist and hand level,1009,"Injury, NOS",,,,0.0,0.0,other
S66.7,Injury of multiple extensor muscles and tendons at wrist and hand level,1009,"Injury, NOS",,,,0.0,0.0,other
S66.8,Injury of other muscles and tendons at wrist and hand level,1009,"Injury, NOS",,,,0.0,0.0,other
S66.9,Injury of unspecified muscle and tendon at wrist and hand level,1009,"Injury, NOS",,,,0.0,0.0,other
S67,Crushing injury of wrist and hand,1006,Crushing injury,,,Both,0.0,0.0,other
S67.0,Crushing injury of thumb and other finger(s),1006,Crushing injury,,,Both,0.0,0.0,other
S67.8,Crushing injury of other and unspecified parts of wrist and hand,1006,Crushing injury,,,Both,0.0,0.0,other
S68,Traumatic amputation of wrist and hand,872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S68.0,Traumatic amputation of thumb (complete)(partial),872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S68.1,Traumatic amputation of other single finger (complete)(partial),872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S68.2,Traumatic amputation of two or more fingers alone (complete)(partial),872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S68.3,Combined traumatic amputation of (part of) finger(s) with other parts of wrist and hand,872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S68.4,Traumatic amputation of hand at wrist level,872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S68.9,"Traumatic amputation of wrist and hand, level unspecified",872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S69.8,Other specified injuries of wrist and hand,1009,"Injury, NOS",,,,0.0,0.0,other
S69.9,Unspecified injury of wrist and hand,1009,"Injury, NOS",,,,0.0,0.0,other
S70,Superficial injury of hip and thigh,915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S70.0,Contusion of hip,916,Contusion,916-916.99,Contusion,Both,0.0,18.0,injuries & poisonings
S70.1,Contusion of thigh,916,Contusion,916-916.99,Contusion,Both,0.0,18.0,injuries & poisonings
S70.7,Multiple superficial injuries of hip and thigh,915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S70.8,Other superficial injuries of hip and thigh,915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S70.9,"Superficial injury of hip and thigh, unspecified",915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S71,Open wound of hip and thigh,871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S71.0,Open wound of hip,870,Open wounds of head; neck; and trunk,870-879.99,Open wound,,0.0,18.0,injuries & poisonings
S71.0,Open wound of hip,871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S71.1,Open wound of thigh,871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S71.7,Multiple open wounds of hip and thigh,870,Open wounds of head; neck; and trunk,870-879.99,Open wound,,0.0,18.0,injuries & poisonings
S71.8,Open wound of other and unspecified parts of pelvic girdle,870,Open wounds of head; neck; and trunk,870-879.99,Open wound,,0.0,18.0,injuries & poisonings
S72,Fracture of femur,800.2,Fracture of unspecified part of femur,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S72.0,Fracture of neck of femur,800.1,Fracture of neck of femur,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S72.1,Pertrochanteric fracture,800.1,Fracture of neck of femur,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S72.1,Pertrochanteric fracture,800.2,Fracture of unspecified part of femur,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S72.2,Subtrochanteric fracture,800.2,Fracture of unspecified part of femur,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S72.3,Fracture of shaft of femur,800,Fracture of lower limb,800-809.99,Fractures,,0.0,18.0,injuries & poisonings
S72.3,Fracture of shaft of femur,800.2,Fracture of unspecified part of femur,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S72.4,Fracture of lower end of femur,800.2,Fracture of unspecified part of femur,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S72.4,Fracture of lower end of femur,800,Fracture of lower limb,800-809.99,Fractures,,0.0,18.0,injuries & poisonings
S72.8,Fractures of other parts of femur,800,Fracture of lower limb,800-809.99,Fractures,,0.0,18.0,injuries & poisonings
S72.9,"Fracture of femur, part unspecified",800.2,Fracture of unspecified part of femur,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S73.0,Dislocation of hip,830,Dislocation,830-839.99,joint disorders and dislocations; trauma-related,,0.0,18.0,injuries & poisonings
S73.1,Sprain and strain of hip,1009,"Injury, NOS",,,,0.0,0.0,other
S74,Injury of nerves at hip and thigh level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S74.0,Injury of sciatic nerve at hip and thigh level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S74.1,Injury of femoral nerve at hip and thigh level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S74.2,Injury of cutaneous sensory nerve at hip and thigh level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S74.8,Injury of other nerves at hip and thigh level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S74.9,Injury of unspecified nerve at hip and thigh level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S75,Injury of blood vessels at hip and thigh level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S75.0,Injury of femoral artery,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S75.1,Injury of femoral vein at hip and thigh level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S75.2,Injury of greater saphenous vein at hip and thigh level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S75.7,Injury of multiple blood vessels at hip and thigh level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S75.8,Injury of other blood vessels at hip and thigh level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S75.9,Injury of unspecified blood vessel at hip and thigh level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S76,Injury of muscle and tendon at hip and thigh level,1009,"Injury, NOS",,,,0.0,0.0,other
S76.0,Injury of muscle and tendon of hip,1009,"Injury, NOS",,,,0.0,0.0,other
S76.1,Injury of quadriceps muscle and tendon,1009,"Injury, NOS",,,,0.0,0.0,other
S76.2,Injury of adductor muscle and tendon of thigh,1009,"Injury, NOS",,,,0.0,0.0,other
S76.3,Injury of muscle and tendon of the posterior muscle group at thigh level,1009,"Injury, NOS",,,,0.0,0.0,other
S76.4,Injury of other and unspecified muscles and tendons at thigh level,1009,"Injury, NOS",,,,0.0,0.0,other
S76.7,Injury of multiple muscles and tendons at hip and thigh level,1009,"Injury, NOS",,,,0.0,0.0,other
S77,Crushing injury of hip and thigh,1006,Crushing injury,,,Both,0.0,0.0,other
S77.0,Crushing injury of hip,1006,Crushing injury,,,Both,0.0,0.0,other
S77.1,Crushing injury of thigh,1006,Crushing injury,,,Both,0.0,0.0,other
S77.2,Crushing injury of hip with thigh,1006,Crushing injury,,,Both,0.0,0.0,other
S78,Traumatic amputation of hip and thigh,872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S78.0,Traumatic amputation at hip joint,872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S78.1,Traumatic amputation at level between hip and knee,872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S78.9,"Traumatic amputation of hip and thigh, level unspecified",872,Traumatic amputation,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S79,Other and unspecified injuries of hip and thigh,1009,"Injury, NOS",,,,0.0,0.0,other
S79.7,Multiple injuries of hip and thigh,1009,"Injury, NOS",,,,0.0,0.0,other
S79.8,Other specified injuries of hip and thigh,1009,"Injury, NOS",,,,0.0,0.0,other
S79.9,Unspecified injury of hip and thigh,1009,"Injury, NOS",,,,0.0,0.0,other
S80,Superficial injury of lower leg,915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S80.0,Contusion of knee,916,Contusion,916-916.99,Contusion,Both,0.0,18.0,injuries & poisonings
S80.1,Contusion of other and unspecified parts of lower leg,916,Contusion,916-916.99,Contusion,Both,0.0,18.0,injuries & poisonings
S80.7,Multiple superficial injuries of lower leg,915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S80.8,Other superficial injuries of lower leg,915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S80.9,"Superficial injury of lower leg, unspecified",915,Superficial injury without mention of infection,910-919.99,"superficial, contusion, crushing injuries",Both,0.0,18.0,injuries & poisonings
S81,Open wound of lower leg,871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S81.0,Open wound of knee,871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S81.0,Open wound of knee,1009,"Injury, NOS",,,,0.0,0.0,other
S81.7,Multiple open wounds of lower leg,1009,"Injury, NOS",,,,0.0,0.0,other
S81.8,Open wound of other parts of lower leg,1009,"Injury, NOS",,,,0.0,0.0,other
S81.9,"Open wound of lower leg, part unspecified",1009,"Injury, NOS",,,,0.0,0.0,other
S81.9,"Open wound of lower leg, part unspecified",871,Open wounds of extremities,870-879.99,Open wound,Both,0.0,18.0,injuries & poisonings
S82.0,Fracture of patella,800.4,Fracture of patella,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S82.1,Fracture of upper end of tibia,800.3,Fracture of tibia and fibula,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S82.2,Fracture of shaft of tibia,800.3,Fracture of tibia and fibula,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S82.3,Fracture of lower end of tibia,800.3,Fracture of tibia and fibula,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S82.4,Fracture of fibula alone,800.3,Fracture of tibia and fibula,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S82.5,Fracture of medial malleolus,801,Fracture of ankle and foot,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S82.6,Fracture of lateral malleolus,801,Fracture of ankle and foot,800-809.99,Fractures,Both,0.0,18.0,injuries & poisonings
S82.7,Multiple fractures of lower leg,800,Fracture of lower limb,800-809.99,Fractures,,0.0,18.0,injuries & poisonings
S82.8,Fractures of other parts of lower leg,800,Fracture of lower limb,800-809.99,Fractures,,0.0,18.0,injuries & poisonings
S82.9,"Fracture of lower leg, part unspecified",800,Fracture of lower limb,800-809.99,Fractures,,0.0,18.0,injuries & poisonings
S83.0,Dislocation of patella,830,Dislocation,830-839.99,joint disorders and dislocations; trauma-related,,0.0,18.0,injuries & poisonings
S83.1,Dislocation of knee,830,Dislocation,830-839.99,joint disorders and dislocations; trauma-related,,0.0,18.0,injuries & poisonings
S83.2,"Tear of meniscus, current",830,Dislocation,830-839.99,joint disorders and dislocations; trauma-related,,0.0,18.0,injuries & poisonings
S83.3,"Tear of articular cartilage of knee, current",840,Sprains and strains,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles,,0.0,18.0,injuries & poisonings
S83.3,"Tear of articular cartilage of knee, current",830,Dislocation,830-839.99,joint disorders and dislocations; trauma-related,,0.0,18.0,injuries & poisonings
S83.4,Sprain and strain involving (fibular)(tibial) collateral ligament of knee,1009,"Injury, NOS",,,,0.0,0.0,other
S83.5,Sprain and strain involving (anterior)(posterior) cruciate ligament of knee,1009,"Injury, NOS",,,,0.0,0.0,other
S83.6,Sprain and strain of other and unspecified parts of knee,1009,"Injury, NOS",,,,0.0,0.0,other
S83.7,Injury to multiple structures of knee,1009,"Injury, NOS",,,,0.0,0.0,other
S84,Injury of nerves at lower leg level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S84.0,Injury of tibial nerve at lower leg level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S84.1,Injury of peroneal nerve at lower leg level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S84.2,Injury of cutaneous sensory nerve at lower leg level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S84.7,Injury of multiple nerves at lower leg level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S84.8,Injury of other nerves at lower leg level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S84.9,Injury of unspecified nerve at lower leg level,907,Injuries to the nervous system,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes",,0.0,18.0,injuries & poisonings
S85,Injury of blood vessels at lower leg level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S85.0,Injury of popliteal artery,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S85.1,Injury of (anterior)(posterior) tibial artery,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S85.2,Injury of peroneal artery,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S85.3,Injury of greater saphenous vein at lower leg level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S85.4,Injury of lesser saphenous vein at lower leg level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S85.5,Injury of popliteal vein,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S85.7,Injury of multiple blood vessels at lower leg level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S85.8,Injury of other blood vessels at lower leg level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S85.8,Injury of other blood vessels at lower leg level,1009,"Injury, NOS",,,,0.0,0.0,other
S85.9,Injury of unspecified blood vessel at lower leg level,1009,"Injury, NOS",,,,0.0,0.0,other
S85.9,Injury of unspecified blood vessel at lower leg level,1007,Injury to blood vessels,,,Both,0.0,0.0,other
S86,Injury of muscle and tendon at lower leg level,1009,"Injury, NOS",,,,0.0,0.0,other
S86.0,Injury of Achilles tendon,1009,"Injury, NOS",,,,0.0,0.0,other
S86.1,Injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level,1009,"Injury, NOS",,,,0.0,0.0,other
S86.2,Injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level,1009,"Injury, NOS",,,,0.0,0.0,other
S86.3,Injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level,1009,"Injury, NOS",,,,0.0,0.0,other
S86.7,Injury of multiple muscles and tendons at lower leg level,1009,"Injury, NOS",,,,0.0,0.0,other
S86.8,Injury of other muscles and tendons at lower leg level,1009,"Injury, NOS",,,,0.0,0.0,other
S86.9,Injury of unspecified muscle and tendon at lower leg level,1009,"Injury, NOS",,,,0.0,0.0,other
